id,code,company,address1,address2,TEL,FAX,tax
null,DK0006,ห้างหุ้นส่วนจำกัด เค. เอส. เวลธี่ อินเตอร์ เทรด,60 ซ.รังสิต-ปทุมธานี14 ซ.5 ถ.รังสิต-ปทุมธานี,ต.ประชาธิปัตย์ อ.ธัญบุรี จ.ปทุมธานี 12130,090-6646494,02-9583818,0133549000854
null,DM0001,บริษัท มิซูยา (ประเทศไทย) จำกัด,8/5 ม.9 ต.บางบ่อ อ.บางบ่อ,จ.สมุทรปราการ 10560,02-9809423,02-9809423,0115556021227
null,DM0002,บริษัท มิล มาสเตอร์ จำกัด,77/63 ถ.สามวา แขวงบางชัน,เขตคลองสามวา กทม 10510,02-9063883,02-9060884,-
null,DN0001,บริษัท เอ็น. บี. ที. ซัพพลาย จำกัด,120/8 ม.3 ต.บ่อวิน,อ.ศรีราชา จ.ชลบุรี 20230,038-337-085-6,038-337-087,-
null,DN0002,บริษัท เอ็นที.พาร์ท จำกัด,26/176 ซ.ประเสริฐมนูกิจ 39 แขวงนวลจันทร์,เขตบึงกุ่ม กรุงเทพฯ 10230,02-946-6394,02-519-3247,-
null,DO0001,บริษัท โอนิอินเตอร์เทรด จำกัด,18/34 ม.7 ถ.บางนา-ตราด กม.17.5,ต.บางโฉลง อ.บางพลี จ.สมุทรปราการ 10540,02-750-8525,02-750-8526,-
null,DP0001,บริษัท แปซิฟิค ทูลส์ จำกัด,299/8  หมู่ 9 ถ.เทพารักษ์ ต.บางปลา,อ.บางพลี จ.สมุทรปราการ 10540,02-706-3393,02-315-4363,0115531001605
null,DP0002,บริษัท พีทีพี คอร์ปอเรชั่น จำกัด,89/391 หมู่6 ตำบลบ่อวิน อำเภอศรีราชา,จังหวัดชลบุรี  20230,038-346019,038-346019,0205553014903
null,DP0003,บริษัท แปซิฟิก เมอร์คิวรี่ จำกัด,32 ซ.ลาดพร้าววังหิน67 ถ.ลาดพร้าววังหิน แขวงลาดพร้าว,เขตลาดพร้าว กรุงเทพมหานคร 10230,025397989,025383945,-
null,DP0004,บริษัท พลัสแม็กซ์ ออโตเมชั่น จำกัด,289 ซ.จรัญสนิทวงศ์ 44 ถ.จรัญสนิทวงศ์,แขวงบางยี่ขัน เขตบางพลัด กรุงเทพมหานคร 10700,02-235-3295-8,02-235-3299,-
null,DP0005,ห้างหุ้นส่วนจำกัด พีเค ไม้ฟิตติ้ง,147 ถ.ราชมรรคา ต.สนามจันทร์,อ.เมือง จ.นครปฐม 73000,096-5945539,034-275228,-
null,DP0006,ร้านเป็นเอก,ตลาดธนบุรี สนามหลวง2 ถ.เลียบคลองทวีวัฒนา,แขวงทวีวัฒนา เขตทวีวัฒนา กรุงเทพมหานคร 10170,087-067-1949,-,-
null,DP0007,บริษัท พาร์ท แฟคตอรี่ โทเทิ้ล กรุ๊ป จำกัด,406/28 ถ.สามัคคี ต.ท่าทราย,อ.เมืองนนทบุรี จ.นนทบุรี 11000,-,-,-
null,DP0008,บริษัท เพรสซิชั่น ทูลลิ่ง เซอร์วิส จำกัด,88 อาคารนิมิตกุล ชั้น3 ซ.พระรามเก้า57/1,สวนหลวง กทม 10250,02-370-4900,02-3704920,-
null,DQ0001,ห้างหุ้นส่วนจำกัด ควอลิเทค อิควิปเม้นท์,70/175 ม.5 ถ.ลำลูกกา ต.บึงคำพร้อย,อ.ลำลูกกา จ.ปทุมธานี 12150,02-532-7363,02-532-6526,-
null,DS0001,บริษัท สมาร์ท  ทูลส์  จำกัด,3/63  ซ.พุทธบูชา 36 แยก 1,แขวงบางมด  เขตทุ่งครุ  กรุงเทพ  10140,02-464-8152-3,02-464-8154,0105546042515
null,DS0002,ห้างหุ้นส่วนจำกัด ศิลป์ไฟฟ้าไทยอุตสาหกรรม,97/3  ซ.นาคสุวรรณ  ถ.นนทรี,แขวงช่องนนทรี เขตทยานนาวา   กรุงเทพ 10120, 02-284-1597,02-681-689,-
null,DS0003,บริษัท เอสอี เพอร์เฟค วัน จำกัด,118/17  ม.1 ต.ลำไทร,อ.วังน้อย จ.พระนครศรีอยุธยา  13170,035-740-833,035-740-834,-
null,DS0004,บริษัท สยาม แมคคาทรอนิค จำกัด,644 ซ.ลาซาล แขวงบางนา,เขตบางนา กรุงเทพมหานคร 10260,02-3985537,02-3993786,-
null,DS0005,บริษัท ซุปเปอร์คิท แอนด์ มาร์เก็ตติ้ง จำกัด,9/173 ซ.ลาดปลาเค้า78 แขวงอนุสาวรีย์,เขตบางเขน กทม. 10220,02-552-6235,02-551-0716,0105558006781
null,DS0006,บริษัท เอสเอสเอ เจเนอรัล ทูลส์ จำกัด,5 ซ.เพชรเกษม 55/2 ถ.เพชรเกษม,แขวงบางแค เขตบางแค กรุงเทพมหานคร 10160,02-413-5731,02-454-3957,0105558000405
null,DS0007,คุณสะอาด ไปล่โสภน,60/128 ม.3 ต.คลองสวนพลู อ.พระนครศรีอยุธยา,จ.พระนครศรีอยุธยา 13000,083-7145173,-,-
null,DS0008,บริษัท สยามมิตโต โปรดักส์ พาร์ท จำกัด,75/31 ม.1 ต.หนองซ้ำซาก อ.บ้านบึง จ.ชลบุรี 20170,-,-,-,-
null,DS0009,ส.ศิริออโต้,201/960 ม.1 ซ.เอ็มไทย2 ถ.เทพารักษ์,ต.บางเสาธง อ.บาเสาธง จ.สมุทรปราการ 10540,089-982-6192,-,-
null,DS0010,ห้างหุ้นส่วนจำกัด สยามไดน่าซัพพลาย,295/14 ซ.กิ่งเพชร ถ.เพชรบุรีตัดใหม่,แขวงถนนเพชรบุรี เขตราชเทวี กทม 10400,02-933-3430,02-933-3440,0103533021024
null,DS0011,S.A.U. S.p.A.,"Via Dei Raseni,6/B","41040 Polinago, Modena, Italy",0039-0536-47510,0039-0536-47275,-
null,DT0001,บริษัท ทูลลิ่ง เซอร์วิส เซ็นเตอร์ จำกัด,202/655-565 ซ.สุภาพงษ์2 แขวงหัวหมาก,เขตบางกะปิ กรุงเทพมหานคร 10240,02-370-4929-35,02-376-2527,-
null,DT0002,บริษัท ทรูเทค แมชชินเนอรี่ จำกัด,"2,4,4/1 ซอยเอกชัย 76 ถ.เอกชัย",แขวงบางบอน เขตบางบอน กรุงเทพมหานคร 10150,02-4171225-30,02-8944194,-
null,DT0003,บริษัท ทูล ลิงค์ จำกัด,88 อาคารเอ.พี.นครินทร์ ชั้น14 ซ.ลาซาล58,ถ.ศรีนครินทร์ บางนา กทม 10260,02-748-7070-1,02-748-7072,-
null,DT0004,Tool-Flo Manufacturing Inc.,14745 Kirby DR,"Houston, TX 77047",+1 713 941 1080,+1 800 342 0992,-
null,DT0005,บริษัท ต้าเหรียญ อินดัสทรีส์ จำกัด,29/11 ม.7 แขวงศาลาธรรฒสพน์,เขตทวีวัฒนา กทม. 10170,02-889-7338,02-889-6823,-
null,DT0006,ห้างหุ้นส่วนจำกัด ที.ดี.อีควิปเม้นท์ (1997),136/17 ซ.แม้นศรี 1 ถ.บำรุงเมือง แขวงคลองมหานาค,เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100,02-225-7343,02-2257343,-
null,DT0007,ไทยอควาเรี่ยมเซ็นเตอร์,ตลาดปลาสวยงาม JJ MALL ห้อง B01,กทม 10150,086-700-4515,-,-
null,DT0008,บริษัท ทองพูน เอ็นจิเนียริ่ง จำกัด,34 ซ.สุขสวัสดิ์13 แยก12,แขวงบางปะกอก เขตราษฎร์บูรณะ กทม. 10140,084-6652496,-,-
null,DT0009,บริษัท ไทยพัฒนสิน (จิ้นเส็ง) จำกัด,13 ถ.ราชพฤกษ์ ตลิ่งชัน,กรุงเทพฯ 10170,02-408-8710,02-408-8719-20,-
null,DT0010,บริษัท ทูลเน็ท (ไทยแลนด์) จำกัด,52/171 ซ.กรุงเทพกรีฑา แขวงสะพานสูง,เขตสะพานสูง กทม. 10240,02-736-2381-4,02-7362385,-
null,DT0011,บริษัท ทูลลิ่ง เอ็กแซ็กท์ จำกัด,261/15 ม.2 ต.บางเพรียง อ.บางบ่อ จ.สมุทรปราการ 10560,-,02-7085721-3,02-7085724,-
null,DT0012,บริษัท เทียนสุภา อินเตอร์เทรด จำกัด,1938 ถ.ข้าวหลาม แขวงตลาดน้อย,เขตสัมพันธวงศ์ กรุงเทพฯ 10100,02-236-4765,02-639-4238,-
null,DT0013,ห้างหุ้นส่วนจำกัด ที. เอ็ม. ทูลลิ่ง,28 ซ.ลาซาล 65 ถ.สุขุมวิท 105 แขวงบางนา,เขตบางนา กรุงเทพมหานคร 10540,02-7525214-5,02-7525216,-
null,DU0001,บริษัท ยูไนเต็ดทังสเตน จำกัด,15/5 หมู่ที่ 1 ตำบลคลองอุดมชลจร,อำเภอเมือง จังหวัดฉะเชิงเทรา 24000,038-090-650,038-090-659,-
null,DW0001,บริษัท ดับบลิว.เค มัลติทูลส์ จำกัด,100/7  หมู่ 8 ต.บางเมือง,อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270,02-383-5804,02-383-5799,3032270595
null,DW0002,บริษัท วราคณะ จำกัด,20 ม.1 ถ.สุขุมวิท ต.เมืองใหม่,อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270,02-757-8537-8,027578539,-
null,DW0003,บริษัท วุฒิ ฮาร์ดแวร์ จำกัด,70 ซ.บรมราชชนนี 64 ถ.บรมราชชนนี,แขวงศาลาธรรมสพน์ เขตทวีวัฒนา กทม 10170,02-8884205,02-8883427,-
null,DX0001,ห้างหุ้นส่วนจำกัด เอ๊กซ์วีเอ็น พรีซิชั่น พาร์ท,1/45 ม.1 ต.หนองรี อ.เมืองชลบุรี จ.ชลบุรี 20000,-,-,-,-
null,DY0001,"YAMAZEN (THAILAND) CO., LTD","1230 and 1230/1 Rama 9 Road, Kwang Suanluang","Khet Suanluang, Bangkok 10250, Thailand.",02-3742214,02-3741482,-
null,DY0002,บริษัท ยี้ซิง แมชชีนเนอรี่ จำกัด,17 ถ.พระราม2 แขวงท่าข้าม,เขตบางขุนเทียน กรุงเทพมหานคร 10150,02-4158964-5,02-4165464,-
